Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
0,1.06099999,0.851000011,1.409000039,1.577000022,1.269999981
2,1.057999969,0.84799999,1.406000018,1.577000022,1.248000026
4,1.057999969,0.84799999,1.402999997,1.577000022,1.269999981
7,1.057999969,0.845000029,1.402999997,1.574000001,1.26699996
9,1.05400002,0.841000021,1.399999976,1.574000001,1.26699996
11,1.05400002,0.838,1.399999976,1.574000001,1.264000058
13,1.050999999,0.838,1.396000028,1.570000052,1.261000037
15,1.050999999,0.834999979,1.393000007,1.570000052,1.241000056
17,1.050999999,0.834999979,1.393000007,1.570000052,1.238000035
20,1.047999978,0.832000017,1.389999986,1.567000031,1.258000016
22,1.047999978,0.828999996,1.389999986,1.567000031,1.258000016
24,1.047999978,0.824999988,1.386999965,1.567000031,1.258000016
27,1.044999957,0.824999988,1.386999965,1.56400001,1.253999949
30,1.044999957,0.819000006,1.383000016,1.56400001,1.253999949
33,1.041000009,0.819000006,1.379999995,1.56400001,1.251000047
35,1.041000009,0.815999985,1.376999974,1.56099999,1.248000026
37,1.041000009,0.811999977,1.373999953,1.56099999,1.248000026
39,1.037999988,0.811999977,1.373999953,1.557999969,1.228999972
41,1.037999988,0.809000015,1.373999953,1.557999969,1.245000005
43,1.037999988,0.809000015,1.370000005,1.557999969,1.245000005
45,1.037999988,0.805999994,1.366999984,1.557999969,1.241000056
47,1.034999967,0.805999994,1.366999984,1.55400002,1.238000035
49,1.034999967,0.802999973,1.366999984,1.55400002,1.241000056
51,1.031999946,0.800000012,1.363999963,1.55400002,1.218999982
53,1.031999946,0.800000012,1.363999963,1.55400002,1.238000035
55,1.031999946,0.796000004,1.360999942,1.550999999,1.238000035
57,1.031999946,0.796000004,1.35800004,1.550999999,1.235000014
59,1.029000044,0.792999983,1.35800004,1.550999999,1.235000014
61,1.029000044,0.792999983,1.353999972,1.547999978,1.231999993
63,1.029000044,0.790000021,1.350999951,1.547999978,1.231999993
65,1.024999976,0.790000021,1.350999951,1.547999978,1.228999972
67,1.024999976,0.787,1.350999951,1.547999978,1.228999972
69,1.024999976,0.787,1.34800005,1.544999957,1.228999972
71,1.021999955,0.782999992,1.34800005,1.544999957,1.225000024
73,1.021999955,0.779999971,1.345000029,1.544999957,1.20599997
75,1.021999955,0.779999971,1.345000029,1.544999957,1.20599997
77,1.021999955,0.779999971,1.340999961,1.541000009,1.202999949
78,1.019000053,0.77700001,1.340999961,1.541000009,1.222000003
80,1.019000053,0.77700001,1.340999961,1.541000009,1.222000003
82,1.019000053,0.773999989,1.338000059,1.541000009,1.218999982
84,1.019000053,0.769999981,1.338000059,1.537999988,1.200000048
86,1.016000032,0.769999981,1.335000038,1.537999988,1.218999982
88,1.016000032,0.769999981,1.332000017,1.537999988,1.218999982
90,1.016000032,0.76700002,1.332000017,1.534999967,1.215999961
92,1.011999965,0.76700002,1.332000017,1.534999967,1.215999961
94,1.011999965,0.76700002,1.332000017,1.534999967,1.212000012
96,1.011999965,0.763999999,1.328999996,1.534999967,1.212000012
98,1.011999965,0.760999978,1.325000048,1.531999946,1.212000012
100,1.011999965,0.760999978,1.325000048,1.531999946,1.212000012
102,1.008999944,0.760999978,1.325000048,1.531999946,1.208999991
104,1.008999944,0.758000016,1.322000027,1.529000044,1.208999991
106,1.008999944,0.758000016,1.322000027,1.529000044,1.20599997
111,1.006000042,0.754000008,1.319000006,1.524999976,1.20599997
114,1.006000042,0.750999987,1.315999985,1.524999976,1.202999949
116,1.003000021,0.748000026,1.312000036,1.524999976,1.200000048
119,1.003000021,0.748000026,1.312000036,1.521999955,1.200000048
121,1.003000021,0.745000005,1.309000015,1.521999955,1.200000048
124,1,0.740999997,1.309000015,1.521999955,1.19599998
126,1,0.740999997,1.305999994,1.521999955,1.19599998
128,1,0.740999997,1.305999994,1.519000053,1.192999959
130,0.995999992,0.737999976,1.302999973,1.519000053,1.192999959
133,0.995999992,0.737999976,1.302999973,1.519000053,1.192999959
136,0.995999992,0.735000014,1.299999952,1.516000032,1.169999957
139,0.992999971,0.735000014,1.296000004,1.516000032,1.190000057
142,0.992999971,0.731999993,1.296000004,1.516000032,1.167000055
145,0.99000001,0.728999972,1.292999983,1.511999965,1.182999969
148,0.99000001,0.728999972,1.292999983,1.508999944,1.182999969
151,0.99000001,0.725000024,1.289999962,1.508999944,1.182999969
154,0.99000001,0.722000003,1.286999941,1.508999944,1.164000034
157,0.986999989,0.722000003,1.286999941,1.506000042,1.179999948
160,0.986999989,0.718999982,1.282999992,1.506000042,1.179999948
163,0.98299998,0.716000021,1.279999971,1.506000042,1.177000046
165,0.98299998,0.716000021,1.279999971,1.506000042,1.177000046
167,0.98299998,0.716000021,1.279999971,1.503000021,1.174000025
169,0.98299998,0.712000012,1.27699995,1.503000021,1.174000025
171,0.980000019,0.712000012,1.27699995,1.503000021,1.154000044
173,0.980000019,0.712000012,1.27699995,1.5,1.154000044
175,0.980000019,0.708999991,1.274000049,1.5,1.169999957
177,0.976999998,0.708999991,1.274000049,1.5,1.169999957
179,0.976999998,0.708999991,1.269999981,1.5,1.169999957
181,0.976999998,0.70599997,1.269999981,1.496000051,1.167000055
183,0.976999998,0.70599997,1.26699996,1.496000051,1.151000023
186,0.976999998,0.703000009,1.26699996,1.496000051,1.167000055
189,0.973999977,0.703000009,1.264000058,1.493000031,1.164000034
194,0.970000029,0.699999988,1.261000037,1.49000001,1.144999981
196,0.973999977,0.699999988,1.261000037,1.49000001,1.141000032
198,0.970000029,0.69599998,1.261000037,1.49000001,1.141000032
200,0.970000029,0.693000019,1.258000016,1.49000001,1.141000032
202,0.970000029,0.69599998,1.258000016,1.49000001,1.141000032
204,0.967000008,0.69599998,1.253999949,1.486999989,1.138000011
207,0.967000008,0.693000019,1.253999949,1.486999989,1.138000011
211,0.963999987,0.689999998,1.251000047,1.486999989,1.154000044
212,0.963999987,0.689999998,1.251000047,1.48300004,1.13499999
213,0.963999987,0.689999998,1.251000047,1.48300004,1.154000044
215,0.963999987,0.686999977,1.248000026,1.48300004,1.154000044
216,0.963999987,0.686999977,1.248000026,1.48300004,1.151000023
217,0.963999987,0.686999977,1.248000026,1.48300004,1.13499999
218,0.963999987,0.686999977,1.248000026,1.48300004,1.151000023
220,0.961000025,0.686999977,1.245000005,1.480000019,1.131999969
222,0.961000025,0.683000028,1.245000005,1.480000019,1.131999969
224,0.961000025,0.683000028,1.245000005,1.480000019,1.131999969
226,0.961000025,0.683000028,1.241000056,1.480000019,1.128999949
228,0.961000025,0.680000007,1.241000056,1.476999998,1.128999949
230,0.958000004,0.680000007,1.241000056,1.476999998,1.148000002
232,0.958000004,0.680000007,1.238000035,1.476999998,1.128999949
234,0.958000004,0.676999986,1.238000035,1.476999998,1.125
237,0.953999996,0.676999986,1.235000014,1.473999977,1.144999981
239,0.953999996,0.676999986,1.235000014,1.473999977,1.144999981
241,0.953999996,0.674000025,1.231999993,1.473999977,1.125
243,0.953999996,0.674000025,1.231999993,1.470000029,1.141000032
245,0.953999996,0.674000025,1.231999993,1.470000029,1.141000032
247,0.950999975,0.670000017,1.228999972,1.470000029,1.138000011
249,0.950999975,0.670000017,1.228999972,1.470000029,1.138000011
251,0.950999975,0.666999996,1.228999972,1.467000008,1.138000011
253,0.950999975,0.666999996,1.225000024,1.467000008,1.138000011
255,0.948000014,0.666999996,1.225000024,1.467000008,1.13499999
257,0.948000014,0.666999996,1.222000003,1.467000008,1.13499999
259,0.948000014,0.666999996,1.222000003,1.467000008,1.13499999
261,0.948000014,0.663999975,1.222000003,1.463999987,1.13499999
263,0.948000014,0.663999975,1.218999982,1.463999987,1.131999969
265,0.944999993,0.663999975,1.218999982,1.463999987,1.131999969
268,0.944999993,0.663999975,1.218999982,1.463999987,1.128999949
271,0.944999993,0.661000013,1.215999961,1.460999966,1.128999949
275,0.940999985,0.661000013,1.215999961,1.460999966,1.128999949
278,0.940999985,0.657999992,1.212000012,1.457999945,1.125
282,0.940999985,0.657999992,1.208999991,1.457999945,1.125
285,0.940999985,0.657999992,1.208999991,1.457999945,1.121999979
288,0.938000023,0.653999984,1.20599997,1.453999996,1.103000045
293,0.938000023,0.653999984,1.20599997,1.453999996,1.118999958
296,0.935000002,0.651000023,1.202999949,1.450999975,1.118999958
299,0.935000002,0.651000023,1.200000048,1.450999975,1.100000024
302,0.931999981,0.648000002,1.200000048,1.450999975,1.116000056
308,0.92900002,0.648000002,1.19599998,1.445000052,1.116000056
314,0.92900002,0.644999981,1.192999959,1.445000052,1.111999989
316,0.925000012,0.644999981,1.192999959,1.445000052,1.108999968
320,0.925000012,0.640999973,1.190000057,1.440999985,1.108999968
323,0.91900003,0.640999973,1.190000057,1.440999985,1.090000033
326,0.921999991,0.638000011,1.187000036,1.440999985,1.105999947
333,0.91900003,0.638000011,1.182999969,1.434999943,1.103000045
338,0.916000009,0.63499999,1.182999969,1.434999943,1.103000045
341,0.916000009,0.63499999,1.179999948,1.434999943,1.082999945
344,0.916000009,0.632000029,1.177000046,1.432000041,1.100000024
347,0.916000009,0.632000029,1.177000046,1.432000041,1.080000043
350,0.912,0.632000029,1.177000046,1.432000041,1.095999956
353,0.912,0.632000029,1.174000025,1.432000041,1.077000022
356,0.912,0.629000008,1.174000025,1.42900002,1.095999956
359,0.908999979,0.629000008,1.169999957,1.42900002,1.093000054
362,0.908999979,0.629000008,1.169999957,1.424999952,1.093000054
364,0.908999979,0.625,1.169999957,1.424999952,1.090000033
366,0.908999979,0.625,1.167000055,1.424999952,1.090000033
368,0.908999979,0.625,1.167000055,1.424999952,1.090000033
370,0.908999979,0.625,1.167000055,1.424999952,1.090000033
372,0.906000018,0.625,1.164000034,1.422000051,1.090000033
374,0.906000018,0.625,1.164000034,1.422000051,1.087000012
376,0.906000018,0.621999979,1.164000034,1.422000051,1.087000012
378,0.906000018,0.621999979,1.164000034,1.422000051,1.087000012
380,0.902999997,0.621999979,1.164000034,1.41900003,1.087000012
382,0.902999997,0.621999979,1.161000013,1.41900003,1.082999945
384,0.902999997,0.619000018,1.161000013,1.41900003,1.082999945
386,0.902999997,0.619000018,1.161000013,1.41900003,1.082999945
388,0.902999997,0.619000018,1.157999992,1.416000009,1.082999945
390,0.902999997,0.619000018,1.157999992,1.416000009,1.06400001
393,0.902999997,0.619000018,1.157999992,1.416000009,1.06400001
395,0.902999997,0.619000018,1.157999992,1.416000009,1.080000043
397,0.899999976,0.615999997,1.154000044,1.416000009,1.080000043
399,0.899999976,0.615999997,1.154000044,1.411999941,1.080000043
401,0.899999976,0.615999997,1.154000044,1.411999941,1.06099999
403,0.896000028,0.615999997,1.151000023,1.411999941,1.077000022
405,0.896000028,0.611999989,1.151000023,1.411999941,1.077000022
407,0.896000028,0.611999989,1.151000023,1.409000039,1.077000022
409,0.896000028,0.611999989,1.148000002,1.409000039,1.077000022
411,0.896000028,0.611999989,1.148000002,1.409000039,1.077000022
413,0.893000007,0.611999989,1.148000002,1.409000039,1.074000001
415,0.896000028,0.609000027,1.148000002,1.409000039,1.074000001
417,0.893000007,0.609000027,1.144999981,1.406000018,1.070000052
419,0.893000007,0.609000027,1.144999981,1.406000018,1.070000052
421,0.893000007,0.609000027,1.144999981,1.406000018,1.070000052
423,0.889999986,0.609000027,1.141000032,1.406000018,1.070000052
425,0.889999986,0.609000027,1.141000032,1.402999997,1.070000052
427,0.889999986,0.609000027,1.138000011,1.402999997,1.050999999
430,0.889999986,0.606000006,1.141000032,1.402999997,1.067000031
433,0.887000024,0.606000006,1.138000011,1.399999976,1.047999978
436,0.887000024,0.606000006,1.138000011,1.399999976,1.06400001
439,0.887000024,0.606000006,1.13499999,1.399999976,1.06400001
441,0.887000024,0.602999985,1.13499999,1.399999976,1.06400001
443,0.887000024,0.602999985,1.13499999,1.396000028,1.06099999
445,0.883000016,0.602999985,1.13499999,1.396000028,1.06099999
447,0.883000016,0.602999985,1.131999969,1.396000028,1.06099999
449,0.883000016,0.602999985,1.131999969,1.396000028,1.06099999
451,0.883000016,0.600000024,1.131999969,1.396000028,1.06099999
452,0.883000016,0.600000024,1.131999969,1.393000007,1.057999969
453,0.883000016,0.600000024,1.128999949,1.393000007,1.057999969
454,0.883000016,0.600000024,1.128999949,1.393000007,1.057999969
455,0.883000016,0.600000024,1.128999949,1.393000007,1.057999969
456,0.883000016,0.600000024,1.128999949,1.393000007,1.057999969
