Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4
0,0.105999999,0.103,0.077,0.093000002
3,0.108999997,0.103,0.077,0.096000001
6,0.108999997,0.103,0.077,0.093000002
9,0.108999997,0.103,0.077,0.096000001
13,0.108999997,0.103,0.077,0.093000002
17,0.108999997,0.103,0.077,0.096000001
20,0.108999997,0.103,0.077,0.096000001
23,0.108999997,0.103,0.077,0.096000001
26,0.108999997,0.103,0.077,0.096000001
29,0.105999999,0.103,0.077,0.096000001
32,0.108999997,0.103,0.077,0.096000001
35,0.108999997,0.103,0.077,0.096000001
39,0.108999997,0.103,0.077,0.093000002
42,0.108999997,0.103,0.077,0.096000001
45,0.112000003,0.103,0.077,0.096000001
48,0.115999997,0.105999999,0.077,0.093000002
51,0.141000003,0.103,0.077,0.096000001
54,0.200000003,0.105999999,0.077,0.096000001
57,0.280000001,0.103,0.077,0.096000001
60,0.361000001,0.103,0.077,0.096000001
64,0.453999996,0.103,0.077,0.096000001
68,0.522000015,0.105999999,0.077,0.096000001
72,0.587000012,0.103,0.077,0.096000001
76,0.638000011,0.103,0.077,0.096000001
80,0.676999986,0.103,0.077,0.096000001
83,0.699999988,0.103,0.077,0.096000001
86,0.718999982,0.105999999,0.077,0.096000001
89,0.745000005,0.105999999,0.077,0.096000001
93,0.763999999,0.105999999,0.077,0.096000001
96,0.782999992,0.103,0.077,0.096000001
99,0.800000012,0.105999999,0.077,0.096000001
102,0.815999985,0.105999999,0.077,0.096000001
105,0.832000017,0.105999999,0.077,0.096000001
108,0.845000029,0.103,0.077,0.096000001
111,0.861000001,0.105999999,0.077,0.096000001
114,0.874000013,0.105999999,0.077,0.096000001
118,0.889999986,0.105999999,0.077,0.096000001
122,0.902999997,0.105999999,0.077,0.096000001
126,0.916000009,0.103,0.077,0.096000001
130,0.925000012,0.105999999,0.077,0.096000001
134,0.935000002,0.105999999,0.077,0.096000001
138,0.948000014,0.105999999,0.077,0.096000001
142,0.958000004,0.105999999,0.079999998,0.096000001
146,0.963999987,0.105999999,0.077,0.096000001
149,0.970000029,0.105999999,0.077,0.096000001
152,0.980000019,0.103,0.077,0.096000001
155,0.98299998,0.105999999,0.077,0.096000001
158,0.99000001,0.105999999,0.077,0.100000001
161,0.992999971,0.105999999,0.077,0.100000001
164,0.995999992,0.105999999,0.077,0.096000001
167,1,0.105999999,0.077,0.096000001
169,1.003000021,0.105999999,0.077,0.096000001
172,1.006000042,0.108999997,0.079999998,0.100000001
175,1.008999944,0.112000003,0.077,0.096000001
178,1.011999965,0.119000003,0.077,0.096000001
181,1.016000032,0.125,0.077,0.096000001
184,1.019000053,0.137999997,0.077,0.096000001
187,1.021999955,0.153999999,0.079999998,0.096000001
190,1.024999976,0.170000002,0.079999998,0.096000001
193,1.024999976,0.195999995,0.079999998,0.096000001
196,1.029000044,0.222000003,0.077,0.096000001
199,1.031999946,0.250999987,0.079999998,0.096000001
203,1.034999967,0.282999992,0.079999998,0.100000001
207,1.034999967,0.324999988,0.079999998,0.096000001
210,1.037999988,0.35800001,0.077,0.096000001
213,1.037999988,0.389999986,0.079999998,0.100000001
216,1.037999988,0.419,0.079999998,0.100000001
219,1.041000009,0.444999993,0.079999998,0.100000001
222,1.041000009,0.474000007,0.079999998,0.096000001
225,1.041000009,0.495999992,0.079999998,0.100000001
228,1.044999957,0.518999994,0.079999998,0.100000001
231,1.044999957,0.541000009,0.079999998,0.100000001
234,1.044999957,0.56099999,0.079999998,0.100000001
237,1.044999957,0.579999983,0.079999998,0.100000001
240,1.047999978,0.596000016,0.077,0.100000001
243,1.047999978,0.611999989,0.079999998,0.096000001
247,1.050999999,0.632000029,0.079999998,0.100000001
251,1.050999999,0.653999984,0.079999998,0.100000001
255,1.050999999,0.674000025,0.079999998,0.100000001
260,1.05400002,0.693000019,0.077,0.100000001
264,1.05400002,0.708999991,0.079999998,0.096000001
268,1.05400002,0.722000003,0.079999998,0.096000001
270,1.05400002,0.728999972,0.079999998,0.100000001
272,1.05400002,0.737999976,0.079999998,0.100000001
274,1.05400002,0.740999997,0.079999998,0.096000001
276,1.05400002,0.748000026,0.077,0.100000001
278,1.05400002,0.758000016,0.079999998,0.100000001
280,1.05400002,0.760999978,0.079999998,0.100000001
282,1.05400002,0.76700002,0.079999998,0.100000001
284,1.05400002,0.773999989,0.079999998,0.100000001
286,1.05400002,0.779999971,0.079999998,0.100000001
